Last Name,First Name,User Id,Email,Password,Role
Corkery,Emely,ECorkery,Emely.Corkery@example.com,123,instructor
Kub,Desmond,DKub,Desmond.Kub@example.com,123,instructor
Padberg,Santina,SPadberg,Santina.Padberg@example.com,123,instructor
Kozey,Earline,EKozey,Earline.Kozey@example.com,123,instructor
Hand,Sydney,SHand,Sydney.Hand@example.com,123,instructor
Wisozk,Sylvan,SWisozk,Sylvan.Wisozk@example.com,123,instructor
O'Connell,Lyric,LO'Connell,Lyric.O'Connell@example.com,123,instructor
Ritchie,Pat,PRitchie,Pat.Ritchie@example.com,123,instructor
Emmerich,Jettie,JEmmerich,Jettie.Emmerich@example.com,123,instructor
Gorczany,Marco,MGorczany,Marco.Gorczany@example.com,123,instructor
McKenzie,Ari,AMcKenzie,Ari.McKenzie@example.com,123,instructor
Stamm,Rylan,RStamm,Rylan.Stamm@example.com,123,instructor
Hintz,Trace,THintz,Trace.Hintz@example.com,123,instructor
Heller,Will,WHeller,Will.Heller@example.com,123,instructor
Lockman,Tianna,TLockman,Tianna.Lockman@example.com,123,instructor
Luettgen,Trey,TLuettgen,Trey.Luettgen@example.com,123,instructor
Kuhlman,Lorenzo,LKuhlman,Lorenzo.Kuhlman@example.com,123,instructor
Wiza,Lily,LWiza,Lily.Wiza@example.com,123,instructor
Parisian,Emma,EParisian,Emma.Parisian@example.com,123,instructor
Wolf,Edison,EWolf,Edison.Wolf@example.com,123,instructor
Rau,Maurice,MRau,Maurice.Rau@example.com,123,instructor
Nitzsche,Nick,NNitzsche,Nick.Nitzsche@example.com,123,instructor
Weber,Iliana,IWeber,Iliana.Weber@example.com,123,instructor
Medhurst,Viola,VMedhurst,Viola.Medhurst@example.com,123,instructor
Hirthe,Shyanne,SHirthe,Shyanne.Hirthe@example.com,123,instructor
Deckow,Rosemarie,RDeckow,Rosemarie.Deckow@example.com,123,instructor
Parker,Odie,OParker,Odie.Parker@example.com,123,instructor
Morar,Hermina,HMorar,Hermina.Morar@example.com,123,instructor
Casper,Ozella,OCasper,Ozella.Casper@example.com,123,instructor
Kerluke,Toy,TKerluke,Toy.Kerluke@example.com,123,instructor
Jacobi,Eladio,EJacobi,Eladio.Jacobi@example.com,123,instructor
Goodwin,Kylie,KGoodwin,Kylie.Goodwin@example.com,123,instructor
