FirstName,LastName,NetID,Email,Password,Role
John,O'Toole,jotoole,jotoole@example.com,123,student
Rich,vonBaron,rvonbaron,rvonbaron@example.com,123,student
Diana,Pedagno,dpedagno,dpedagno@example.com,123,student
Nicholas,Sparks,nsparks,nsparks@example.com,123,student
David,Robinson,drobinson,drobinson@example.com,123,student
Kim,Smith,ksmith,ksmith@example.com,123,student
Lisa,Lee,llee,llee@example.com,123,student
Charles,Vota,cvota,cvota@example.com,123,student
Cole,Thompson,cthompson,cthompson@example.com,123,student
Mickey,M. Cheese,mmcheese,mmcheese@example.com,123,student
Andrew,Seawolf,aseawolf,aseawolf@example.com,123,student
Matthew,Seuss,mseuss,mseuss@example.com,123,student
Patricia,Silverstein,psilverstein,psilverstein@example.com,123,student
Shawn,Rawling,srawling,srawling@example.com,123,student
Marty,McFly,mmcfly,mmcfly@example.com,123,student
Anvika,.,a,a@example.com,123,student
Eric,Abia,eabia,eabia@example.com,123,student
Peter,Aclander,paclander,paclander@example.com,123,student
Nichole,Afridi,nafridi,nafridi@example.com,123,student
Tara,Ahyad,tahyad,tahyad@example.com,123,student
Rose,Alafati,ralafati,ralafati@example.com,123,student
Jarrod,Ali,jali,jali@example.com,123,student
Anthony,Alsaloum,aalsaloum,aalsaloum@example.com,123,student
Rich,Ampuero Ruiz,rampueroruiz,rampueroruiz@example.com,123,student
Rich,Anigbogu,ranigbogu,ranigbogu@example.com,123,student
Cole,Apter,capter,capter@example.com,123,student
Christopher,Arjun,carjun,carjun@example.com,123,student
Kris,Ashiru-Balogun,kashiru-balogun,kashiru-balogun@example.com,123,student
Tony,Austin,taustin,taustin@example.com,123,student
A M Munwar,Babcock,ababcock,ababcock@example.com,123,student
Abiemwense,Bak,abak,abak@example.com,123,student
Aditya,Bandi,abandi,abandi@example.com,123,student
Aijaz,Barker,abarker,abarker@example.com,123,student
Alby,Bartoloni,abartoloni,abartoloni@example.com,123,student
Alina,Beale,abeale,abeale@example.com,123,student
Aman,Belfort,abelfort,abelfort@example.com,123,student
Amro,Benson,abenson,abenson@example.com,123,student
Andres,Berry,aberry,aberry@example.com,123,student
Aniska,Bhrugubanda,abhrugubanda,abhrugubanda@example.com,123,student
Antonio,Binning,abinning,abinning@example.com,123,student
Argentine,Blaszczyk,ablaszczyk,ablaszczyk@example.com,123,student
Arthur,Boggavarapu,aboggavarapu,aboggavarapu@example.com,123,student
Asli,Bonga,abonga,abonga@example.com,123,student
Aybuke,Boskamp,aboskamp,aboskamp@example.com,123,student
Barbora,Braginsky,bbraginsky,bbraginsky@example.com,123,student
Beronica,Brett,bbrett,bbrett@example.com,123,student
Bingxu,Bross,bbross,bbross@example.com,123,student
Boyue,Buccilli,bbuccilli,bbuccilli@example.com,123,student
Britney,Burgess,bburgess,bburgess@example.com,123,student
Caixuan,Button,cbutton,cbutton@example.com,123,student
Carmen,Caiola,ccaiola,ccaiola@example.com,123,student
Cerise,Campanelli,ccampanelli,ccampanelli@example.com,123,student
Chaofan,Capolongo,ccapolongo,ccapolongo@example.com,123,student
Chengde,Carlisle,ccarlisle,ccarlisle@example.com,123,student
Chidubem,Carvajal,ccarvajal,ccarvajal@example.com,123,student
Christa,Catanese,ccatanese,ccatanese@example.com,123,student
Chuxiang,Cerami,ccerami,ccerami@example.com,123,student
Conner,Cham,ccham,ccham@example.com,123,student
Cyndi,Chaturvedi,cchaturvedi,cchaturvedi@example.com,123,student
