zeqli,Zeqing,Li,zeqing.li@stonybrook.edu,admin,administrator instructor
wipar,Willie,Parker,willie.parker@stonybrook.edu,abc123,instructor
jocol,Jonathan,Collins,jonathan.collins@stonybrook.edu,abc123,instructor
jelon,Jeffrey,Long,jeffrey.long@stonybrook.edu,abc123,instructor
loedw,Louis,Edwards,louis.edwards@stonybrook.edu,abc123,instructor
sehar,Sean,Harris,sean.harris@stonybrook.edu,abc123,instructor
sebro,Sean,Brooks,sean.brooks@stonybrook.edu,abc123,instructor
nasul,Nathan,Sullivan,nathan.sullivan@stonybrook.edu,abc123,instructor student
anmoo,Andrew,Moore,andrew.moore@stonybrook.edu,abc123,instructor student
jator,Jason,Torres,jason.torres@stonybrook.edu,abc123,student
anlee,Andrew,Lee,andrew.lee@stonybrook.edu,abc123,student
jarod,Jack,Rodriguez,jack.rodriguez@stonybrook.edu,abc123,student
stbro,Stephen,Brown,stephen.brown@stonybrook.edu,abc123,student
jotho,Jonathan,Thomas,jonathan.thomas@stonybrook.edu,abc123,student
jomor,Joe,Morris,joe.morris@stonybrook.edu,abc123,student
jeort,Jeremy,Ortiz,jeremy.ortiz@stonybrook.edu,abc123,student
auste,Austin,Stewart,austin.stewart@stonybrook.edu,abc123,student
stsan,Stephen,Sanchez,stephen.sanchez@stonybrook.edu,abc123,student
gebro,Gerald,Brooks,gerald.brooks@stonybrook.edu,abc123,student
rogom,Roy,Gomez,roy.gomez@stonybrook.edu,abc123,student
palew,Patrick,Lewis,patrick.lewis@stonybrook.edu,abc123,student
pegom,Peter,Gomez,peter.gomez@stonybrook.edu,abc123,student
anmit,Andrew,Mitchell,andrew.mitchell@stonybrook.edu,abc123,student
raste,Randy,Stewart,randy.stewart@stonybrook.edu,abc123,student
eueva,Eugene,Evans,eugene.evans@stonybrook.edu,abc123,student
wawri,Walter,Wright,walter.wright@stonybrook.edu,abc123,student
adtur,Adam,Turner,adam.turner@stonybrook.edu,abc123,student
zasul,Zachary,Sullivan,zachary.sullivan@stonybrook.edu,abc123,student
scsan,Scott,Sanchez,scott.sanchez@stonybrook.edu,abc123,student
geort,Gerald,Ortiz,gerald.ortiz@stonybrook.edu,abc123,student
maree,Mark,Reed,mark.reed@stonybrook.edu,abc123,student
kytay,Kyle,Taylor,kyle.taylor@stonybrook.edu,abc123,student
phbel,Philip,Bell,philip.bell@stonybrook.edu,abc123,student
dofos,Douglas,Foster,douglas.foster@stonybrook.edu,abc123,student
auedw,Austin,Edwards,austin.edwards@stonybrook.edu,abc123,student
jecox,Jeffrey,Cox,jeffrey.cox@stonybrook.edu,abc123,student
scada,Scott,Adams,scott.adams@stonybrook.edu,abc123,student
rahal,Ralph,Hall,ralph.hall@stonybrook.edu,abc123,student
phric,Philip,Richardson,philip.richardson@stonybrook.edu,abc123,student
jerob,Jeffrey,Roberts,jeffrey.roberts@stonybrook.edu,abc123,student
hatho,Harry,Thompson,harry.thompson@stonybrook.edu,abc123,student
jobar,Jose,Barnes,jose.barnes@stonybrook.edu,abc123,student
dakin,David,King,david.king@stonybrook.edu,abc123,student
jomor,Jose,Morgan,jose.morgan@stonybrook.edu,abc123,student
breva,Brian,Evans,brian.evans@stonybrook.edu,abc123,student
hasco,Harry,Scott,harry.scott@stonybrook.edu,abc123,student
